epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9007,2.13626,2.90543,1.0649,0.34352,0.09764,0.10619,0.05081,2.02619,2.29847,1.00199,0.000412458,0.000412458,0.000412458
2,149.387,2.00537,1.69078,0.98819,0.23518,0.1878,0.12242,0.05913,1.92135,1.89806,0.9973,0.000820916,0.000820916,0.000820916
3,222.786,1.959,1.57528,0.9771,0.30631,0.19626,0.1517,0.07838,1.83147,1.51003,0.95959,0.00122112,0.00122112,0.00122112
4,296.947,1.88729,1.50443,0.96871,0.28111,0.22005,0.16608,0.08258,1.86773,1.48222,0.96107,0.00121287,0.00121287,0.00121287
5,371.138,1.89339,1.46326,0.9697,0.30487,0.23308,0.17892,0.08907,1.84402,1.42859,0.95426,0.0012005,0.0012005,0.0012005
6,444.955,1.86853,1.42232,0.96181,0.29572,0.23116,0.1783,0.08571,1.89991,1.41254,0.96035,0.00118812,0.00118812,0.00118812
7,519.023,1.8215,1.37794,0.94859,0.2915,0.2251,0.1757,0.09348,1.77187,1.37985,0.9432,0.00117575,0.00117575,0.00117575
8,592.757,1.83005,1.36494,0.95088,0.2961,0.2447,0.18855,0.09828,1.79272,1.39687,0.93943,0.00116337,0.00116337,0.00116337
9,667.042,1.785,1.33909,0.94554,0.3204,0.26039,0.21037,0.10913,1.73166,1.30493,0.94249,0.001151,0.001151,0.001151
10,741.542,1.78376,1.32247,0.94147,0.33937,0.27205,0.22109,0.11749,1.70013,1.2756,0.93268,0.00113863,0.00113863,0.00113863
11,815.275,1.77379,1.29973,0.94247,0.36294,0.27132,0.23054,0.12105,1.70137,1.27859,0.92831,0.00112625,0.00112625,0.00112625
12,891.007,1.78501,1.30017,0.935,0.34794,0.26878,0.23128,0.12254,1.69011,1.2821,0.93529,0.00111388,0.00111388,0.00111388
13,964.856,1.72589,1.25358,0.93816,0.36001,0.26727,0.22908,0.1225,1.69664,1.23628,0.9291,0.0011015,0.0011015,0.0011015
14,1039.54,1.75484,1.28255,0.93108,0.37405,0.26679,0.23042,0.12233,1.70409,1.26559,0.93306,0.00108913,0.00108913,0.00108913
15,1114.99,1.76027,1.27214,0.93472,0.35244,0.26233,0.22124,0.11671,1.71876,1.23918,0.92858,0.00107675,0.00107675,0.00107675
16,1190.83,1.74272,1.25815,0.92833,0.37836,0.2739,0.23944,0.12691,1.66855,1.23118,0.92463,0.00106437,0.00106437,0.00106437
17,1266.37,1.70802,1.22426,0.92832,0.37844,0.27699,0.24254,0.1263,1.67602,1.22729,0.93203,0.001052,0.001052,0.001052
18,1341.34,1.72261,1.23452,0.92346,0.3507,0.2601,0.22199,0.1182,1.67023,1.22044,0.92045,0.00103962,0.00103962,0.00103962
19,1415.06,1.72182,1.22268,0.92561,0.38176,0.26752,0.22926,0.12203,1.67796,1.23244,0.92128,0.00102725,0.00102725,0.00102725
20,1488.77,1.69816,1.21514,0.92311,0.35954,0.27487,0.22999,0.12042,1.69499,1.27101,0.9269,0.00101488,0.00101488,0.00101488
21,1562,1.70501,1.21193,0.91984,0.37192,0.28849,0.24697,0.13364,1.62987,1.17886,0.91692,0.0010025,0.0010025,0.0010025
22,1635.1,1.69691,1.1948,0.9203,0.38263,0.28671,0.25559,0.13796,1.62722,1.22857,0.92303,0.000990125,0.000990125,0.000990125
23,1710.1,1.69167,1.18023,0.91701,0.35985,0.27667,0.236,0.12532,1.68204,1.21268,0.92348,0.00097775,0.00097775,0.00097775
